Region,Month of Period End,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List
,June 2015,$157K,71,82,271,70,97.5%
,July 2015,$150K,61,86,278,75,97.8%
,August 2015,$133K,68,68,275,80,97.9%
,September 2015,$140K,53,84,288,71,96.8%
,October 2015,$138K,58,62,272,96,98.7%
,November 2015,$123K,44,62,277,92,95.6%
,December 2015,$123K,46,44,268,112,97.4%
,January 2016,$121K,36,59,276,67,97.8%
,February 2016,$166K,45,58,273,109,97.0%
,March 2016,$133K,53,87,296,90,97.6%
,April 2016,$160K,53,64,303,98,97.3%
,May 2016,$130K,63,51,288,91,97.4%
,June 2016,$150K,71,84,288,105,97.5%
,July 2016,$133K,59,63,285,90,96.6%
,August 2016,$135K,55,82,301,85,97.2%
,September 2016,$134K,62,77,301,101,98.1%
,October 2016,$150K,71,75,294,80,97.4%
,November 2016,$151K,54,62,293,77,97.7%
,December 2016,$141K,58,34,255,79,97.7%
,January 2017,$132K,41,68,276,133,97.5%
,February 2017,$126K,66,43,252,87,98.5%
,March 2017,$137K,58,80,248,110,97.4%
,April 2017,$134K,54,88,276,77,98.9%
,May 2017,$137K,78,72,261,67,98.3%
,June 2017,$147K,79,83,262,79,98.6%
,July 2017,$139K,58,81,281,71,97.5%
,August 2017,$161K,78,72,264,90,98.6%
,September 2017,$160K,73,48,236,81,98.5%
,October 2017,$130K,72,67,217,84,97.9%
,November 2017,$152K,64,50,194,112,97.4%
,December 2017,$145K,81,42,160,108,97.3%
,January 2018,$154K,52,68,171,71,97.9%
,February 2018,$135K,49,65,178,62,98.0%
,March 2018,$152K,69,68,178,57,97.2%
,April 2018,$152K,55,78,197,57,98.4%
,May 2018,$168K,56,80,217,72,98.1%
,June 2018,$165K,76,81,224,77,97.7%
,July 2018,$165K,65,85,238,62,99.0%
,August 2018,$163K,76,101,259,61,97.6%
,September 2018,$142K,62,80,263,60,96.9%
,October 2018,$171K,90,87,250,68,98.6%
,November 2018,$185K,81,51,216,68,98.5%
,December 2018,$174K,68,50,199,88,98.8%
,January 2019,$151K,45,64,218,90,97.3%
,February 2019,$168K,59,56,212,78,96.8%
,March 2019,$179K,70,78,219,96,97.9%
,April 2019,$173K,65,74,224,85,98.6%
,May 2019,$192K,78,88,223,64,98.4%
,June 2019,$185K,89,82,215,62,98.4%
,July 2019,$179K,62,70,216,57,98.5%
,August 2019,$190K,69,96,235,61,98.3%
,September 2019,$174K,68,75,238,92,99.2%
,October 2019,$218K,81,89,244,65,99.2%
,November 2019,$185K,77,53,216,59,98.3%
,December 2019,$190K,67,52,194,76,99.2%
,January 2020,$179K,62,84,215,81,97.8%
,February 2020,$218K,58,74,230,90,98.8%
,March 2020,$176K,88,94,236,66,100.2%
,April 2020,$183K,56,84,250,70,98.5%
,May 2020,$216K,63,70,254,79,98.6%
,June 2020,$222K,76,60,236,67,99.3%
,July 2020,$194K,98,101,224,89,98.8%
,August 2020,$210K,85,81,219,70,98.9%
,September 2020,$228K,78,83,218,65,99.3%
,October 2020,$235K,85,76,207,64,98.8%
,November 2020,$221K,84,84,205,58,98.9%
,December 2020,$198K,82,63,183,75,99.0%
,January 2021,$206K,50,55,180,57,99.7%
,February 2021,$210K,67,107,220,69,100.3%
,March 2021,$245K,81,104,242,57,99.7%
,April 2021,$220K,89,77,226,50,100.6%
,May 2021,$239K,82,90,230,63,99.5%
,June 2021,$230K,98,99,232,52,100.2%
,July 2021,$243K,86,86,232,63,99.2%
,August 2021,$249K,81,81,220,54,99.8%
,September 2021,$237K,86,68,200,57,98.9%
,October 2021,$280K,79,88,206,50,99.7%
,November 2021,$271K,69,63,193,64,98.6%
,December 2021,$269K,81,73,181,61,99.8%
,January 2022,$260K,57,82,195,58,99.5%
,February 2022,$262K,64,72,192,61,99.4%
,March 2022,$276K,84,88,184,51,99.4%
,April 2022,$280K,73,85,183,56,100.1%
,May 2022,$288K,79,132,221,56,100.0%
,June 2022,$299K,80,96,207,56,99.3%
,July 2022,$297K,62,122,211,53,99.4%
,August 2022,$282K,74,73,202,19,99.3%
,September 2022,$298K,62,62,199,28,99.0%
,October 2022,$270K,63,58,184,35,96.6%
,November 2022,$290K,71,47,179,46,97.2%
,December 2022,$291K,47,39,156,41,98.0%
,January 2023,$270K,56,40,139,45,97.7%
,February 2023,$259K,30,60,127,44,97.5%
,March 2023,$261K,58,51,116,61,97.4%
,April 2023,$270K,46,58,107,52,97.4%
,May 2023,$294K,62,63,90,30,97.9%
,June 2023,$265K,61,65,94,32,97.9%
,July 2023,$270K,59,63,91,14,98.3%
,August 2023,$285K,69,81,106,22,98.6%
,September 2023,$290K,39,44,99,29,98.5%
,October 2023,$312K,46,55,106,32,98.3%
,November 2023,$302K,46,52,115,34,97.9%
,December 2023,$245K,35,40,112,18,99.5%
,January 2024,$337K,45,54,105,51,98.2%
,February 2024,$292K,51,52,110,57,98.6%
,March 2024,$284K,44,70,113,35,98.3%
,April 2024,$292K,59,68,117,40,98.6%
,May 2024,$300K,57,70,109,25,98.6%
,June 2024,$280K,67,57,110,36,98.8%
,July 2024,$288K,58,67,117,14,98.7%
,August 2024,$270K,45,63,115,21,98.1%
,September 2024,$291K,54,62,127,25,97.9%
,October 2024,$312K,54,52,122,22,98.9%
,November 2024,$301K,38,54,132,43,98.6%
,December 2024,$290K,41,38,120,23,98.1%
,January 2025,$315K,43,58,120,36,98.6%
,February 2025,$255K,43,44,118,44,97.9%
"Kiryas Joel, NY",January 2012,$100K,1,,6,325,101.0%
,February 2012,$100K,2,4,9,50,133.0%
,April 2012,$70K,3,,7,12,102.1%
,June 2012,$75K,2,5,10,219,110.4%
,November 2012,$65K,3,4,10,86,91.3%
,March 2013,$65K,2,,10,275,76.9%
,October 2013,$82K,3,,5,301,101.4%
,September 2014,$78K,2,,2,126,100.4%
,March 2015,$160K,1,1,2,283,160.0%
,December 2015,$205K,1,2,2,315,195.2%
,July 2016,$402K,2,,,70,136.1%
,October 2016,$260K,1,,1,50,92.9%
,December 2017,$565K,1,,,46,89.8%
,October 2018,"$1,650K",1,2,6,65,91.7%
,December 2018,$995K,1,1,6,68,72.9%
,February 2019,$388K,2,1,4,144,94.3%
,March 2019,$390K,1,2,3,,
,April 2019,$691K,2,,2,116,86.0%
,July 2019,$128K,1,1,2,68,
,September 2019,$700K,1,1,2,111,100.0%
,November 2019,$615K,1,,1,51,99.2%
,December 2019,$495K,2,,,44,97.3%
,March 2020,$192K,1,,1,168,103.6%
,November 2020,$450K,1,1,3,56,82.0%
,May 2021,$700K,1,1,2,34,82.4%
,July 2021,$710K,1,,2,128,94.8%
,September 2021,$325K,1,,,60,116.5%
,October 2021,$690K,1,1,1,105,106.3%
,June 2022,"$1,250K",1,1,1,58,83.4%
,August 2022,$995K,1,3,4,21,82.9%
,October 2022,$725K,1,1,3,55,91.9%
,November 2022,$872K,1,,3,23,102.6%
,December 2022,$855K,2,,,59,101.1%
,March 2023,$965K,1,,1,129,96.6%
,April 2023,$975K,1,2,3,43,100.0%
,June 2023,$574K,1,,1,36,108.5%
,July 2023,$585K,1,,,22,100.0%
,January 2024,$650K,1,,2,34,57.8%
"Kuna, ID",January 2012,$92K,26,39,144,61,97.5%
,February 2012,$110K,28,22,135,107,98.8%
,March 2012,$95K,28,26,133,119,98.2%
,April 2012,$101K,40,34,134,85,99.6%
,May 2012,$105K,23,31,135,231,99.1%
,June 2012,$120K,30,38,144,69,100.9%
,July 2012,$121K,32,33,155,24,101.6%
,August 2012,$139K,24,32,159,134,100.8%
,September 2012,$119K,34,37,162,95,101.4%
,October 2012,$117K,35,25,163,75,100.0%
,November 2012,$124K,25,22,160,119,100.4%
,December 2012,$122K,36,15,136,103,100.4%
,January 2013,$124K,10,14,130,86,99.6%
,February 2013,$130K,25,43,142,95,100.3%
,March 2013,$140K,27,32,138,107,99.7%
,April 2013,$134K,36,35,147,14,99.5%
,May 2013,$137K,36,41,146,34,98.9%
,June 2013,$150K,35,41,152,114,99.1%
,July 2013,$144K,35,55,165,43,102.3%
,August 2013,$150K,44,44,172,35,100.1%
,September 2013,$147K,27,40,187,49,99.3%
,October 2013,$154K,24,35,200,49,98.8%
,November 2013,$138K,18,38,217,73,100.8%
,December 2013,$147K,25,22,209,86,98.6%
,January 2014,$144K,26,21,208,72,97.8%
,February 2014,$139K,22,60,233,67,98.8%
,March 2014,$147K,36,36,220,80,98.8%
,April 2014,$135K,38,40,208,45,99.7%
,May 2014,$151K,39,52,214,70,100.4%
,June 2014,$155K,42,30,206,95,98.8%
,July 2014,$162K,41,45,210,46,98.9%
,August 2014,$144K,39,32,202,79,99.1%
,September 2014,$154K,27,39,198,61,99.6%
,October 2014,$143K,37,19,186,46,99.6%
,November 2014,$148K,25,19,173,70,98.9%
,December 2014,$148K,29,17,162,141,99.3%
,January 2015,$155K,19,23,169,97,98.3%
,February 2015,$166K,18,50,171,114,97.8%
,March 2015,$167K,30,39,186,55,99.5%
,April 2015,$180K,37,47,179,170,99.8%
,May 2015,$170K,47,50,167,43,99.6%
,June 2015,$153K,48,56,184,43,99.6%
,July 2015,$158K,42,47,178,45,98.7%
,August 2015,$163K,47,40,162,21,99.8%
,September 2015,$151K,36,44,167,38,100.3%
,October 2015,$168K,35,46,169,22,99.7%
,November 2015,$167K,27,34,160,53,99.4%
,December 2015,$167K,55,54,187,67,100.0%
,January 2016,$164K,32,32,181,214,100.1%
,February 2016,$193K,40,40,160,58,99.8%
,March 2016,$175K,59,69,161,110,100.0%
,April 2016,$170K,63,43,157,44,99.8%
,May 2016,$188K,60,101,184,38,100.3%
,June 2016,$187K,59,74,193,22,100.4%
,July 2016,$179K,68,67,204,15,100.1%
,August 2016,$200K,56,55,214,30,100.0%
,September 2016,$200K,57,62,218,45,99.9%
,October 2016,$199K,52,46,209,30,100.5%
,November 2016,$217K,62,44,211,33,100.0%
,December 2016,$202K,67,38,176,60,99.9%
,January 2017,$209K,35,29,181,22,99.2%
,February 2017,$192K,29,34,175,55,99.2%
,March 2017,$211K,46,80,180,22,100.3%
,April 2017,$204K,59,73,171,156,100.9%
,May 2017,$216K,60,81,169,16,100.3%
,June 2017,$220K,70,70,153,30,99.3%
,July 2017,$210K,76,86,173,23,100.5%
,August 2017,$225K,65,90,185,33,100.2%
,September 2017,$202K,68,84,194,17,99.8%
,October 2017,$227K,68,47,188,43,99.8%
,November 2017,$203K,57,50,190,20,99.7%
,December 2017,$225K,56,49,189,34,99.9%
,January 2018,$233K,48,52,182,68,100.0%
,February 2018,$237K,52,50,170,45,100.6%
,March 2018,$249K,64,63,147,101,99.8%
,April 2018,$232K,52,70,168,17,101.1%
,May 2018,$242K,77,75,182,75,100.3%
,June 2018,$249K,86,92,209,48,100.4%
,July 2018,$259K,79,61,204,51,100.1%
,August 2018,$259K,79,98,224,47,100.4%
,September 2018,$258K,68,84,237,89,100.1%
,October 2018,$258K,77,50,210,35,100.0%
,November 2018,$267K,68,87,217,82,99.1%
,December 2018,$252K,58,69,221,74,99.9%
,January 2019,$270K,49,73,202,86,100.4%
,February 2019,$267K,76,79,197,102,100.1%
,March 2019,$272K,78,99,188,69,100.1%
,April 2019,$269K,84,114,204,44,100.0%
,May 2019,$278K,104,128,235,28,100.3%
,June 2019,$282K,98,102,246,28,100.5%
,July 2019,$280K,116,100,237,36,100.1%
,August 2019,$277K,92,102,254,27,100.0%
,September 2019,$280K,78,88,265,48,99.9%
,October 2019,$279K,93,97,276,86,100.0%
,November 2019,$292K,83,67,268,65,99.8%
,December 2019,$289K,83,64,255,82,99.7%
,January 2020,$282K,70,84,242,78,99.5%
,February 2020,$305K,90,93,217,87,99.7%
,March 2020,$300K,89,89,220,58,100.2%
,April 2020,$316K,80,86,225,47,100.2%
,May 2020,$305K,86,126,240,26,99.9%
,June 2020,$323K,114,107,216,41,99.9%
,July 2020,$345K,125,118,197,38,99.8%
,August 2020,$333K,122,111,183,17,100.3%
,September 2020,$331K,118,115,183,21,100.4%
,October 2020,$354K,120,153,225,33,99.9%
,November 2020,$363K,102,85,225,23,99.9%
,December 2020,$383K,90,91,227,28,99.7%
,January 2021,$420K,88,90,212,34,99.2%
,February 2021,$400K,90,97,207,36,99.9%
,March 2021,$418K,128,117,206,40,100.2%
,April 2021,$417K,134,104,197,14,101.0%
,May 2021,$441K,105,100,190,18,101.5%
,June 2021,$450K,115,123,202,11,101.4%
,July 2021,$475K,103,149,245,13,101.2%
,August 2021,$465K,95,105,221,14,100.7%
,September 2021,$455K,114,116,215,24,99.9%
,October 2021,$464K,107,78,184,31,99.7%
,November 2021,$470K,72,101,186,28,99.6%
,December 2021,$452K,103,66,126,35,99.9%
,January 2022,$480K,65,89,127,37,99.6%
,February 2022,$484K,74,83,131,36,100.2%
,March 2022,$471K,72,107,139,24,100.5%
,April 2022,$492K,108,100,169,20,100.6%
,May 2022,$490K,95,97,185,29,100.2%
,June 2022,$475K,88,138,264,27,99.9%
,July 2022,$472K,62,81,271,25,99.7%
,August 2022,$480K,65,80,272,47,99.5%
,September 2022,$438K,81,84,267,50,99.3%
,October 2022,$466K,77,51,253,62,98.8%
,November 2022,$472K,39,36,252,60,98.0%
,December 2022,$467K,46,34,238,83,97.6%
,January 2023,$405K,44,40,173,141,98.9%
,February 2023,$405K,76,53,134,134,98.9%
,March 2023,$385K,96,53,111,105,99.4%
,April 2023,$427K,80,54,111,92,99.7%
,May 2023,$430K,44,52,100,37,100.2%
,June 2023,$444K,62,63,115,21,99.8%
,July 2023,$470K,50,60,131,24,99.7%
,August 2023,$458K,46,61,154,27,99.9%
,September 2023,$430K,31,57,171,25,99.0%
,October 2023,$490K,46,58,158,37,99.8%
,November 2023,$449K,43,45,165,39,99.1%
,December 2023,$465K,43,51,173,62,99.4%
,January 2024,$445K,39,46,166,72,98.5%
,February 2024,$472K,52,74,187,75,99.6%
,March 2024,$457K,62,105,207,57,99.2%
,April 2024,$450K,69,109,241,32,100.2%
,May 2024,$451K,80,79,223,32,100.1%
,June 2024,$463K,92,83,230,52,99.7%
,July 2024,$450K,73,88,235,51,99.4%
,August 2024,$464K,75,80,252,51,99.2%
,September 2024,$460K,71,73,237,85,99.7%
,October 2024,$452K,70,81,234,71,99.8%
,November 2024,$430K,72,49,210,75,100.2%
,December 2024,$434K,74,77,207,67,99.6%
,January 2025,$435K,65,58,185,94,99.7%
,February 2025,$448K,78,101,195,80,98.9%
"Kyle, TX",January 2012,$125K,28,54,147,73,96.0%
,February 2012,$133K,28,57,157,90,97.8%
,March 2012,$130K,35,71,167,42,98.3%
,April 2012,$134K,44,51,162,35,98.6%
,May 2012,$141K,55,77,155,50,97.8%
,June 2012,$134K,67,84,161,29,99.0%
,July 2012,$146K,52,68,169,39,98.1%
,August 2012,$140K,60,62,169,35,97.6%
,September 2012,$134K,47,48,153,48,98.4%
,October 2012,$132K,52,47,141,48,97.3%
,November 2012,$130K,44,49,142,45,96.4%
,December 2012,$134K,36,38,135,46,97.0%
,January 2013,$132K,35,53,140,74,97.9%
,February 2013,$125K,31,61,131,60,98.1%
,March 2013,$145K,63,61,130,57,98.5%
,April 2013,$150K,49,88,146,36,97.8%
,May 2013,$147K,67,86,146,29,98.6%
,June 2013,$159K,60,99,161,28,98.7%
,July 2013,$145K,72,86,165,19,98.7%
,August 2013,$149K,94,55,119,24,98.9%
,September 2013,$149K,75,60,124,24,98.6%
,October 2013,$155K,59,63,124,49,98.7%
,November 2013,$148K,49,40,113,40,98.4%
,December 2013,$150K,53,46,104,36,98.7%
,January 2014,$164K,40,66,100,75,96.7%
,February 2014,$153K,53,72,95,24,98.7%
,March 2014,$156K,66,72,80,33,97.8%
,April 2014,$167K,65,85,83,25,99.1%
,May 2014,$165K,74,112,103,13,99.2%
,June 2014,$165K,84,83,93,12,99.2%
,July 2014,$174K,98,114,125,19,98.6%
,August 2014,$173K,82,86,145,13,98.2%
,September 2014,$163K,77,74,149,23,98.7%
,October 2014,$170K,75,74,152,26,98.4%
,November 2014,$167K,55,37,123,35,99.0%
,December 2014,$169K,75,31,96,33,98.1%
,January 2015,$179K,50,55,77,68,98.0%
,February 2015,$181K,41,57,79,43,98.1%
,March 2015,$185K,71,71,74,28,98.9%
,April 2015,$173K,73,94,94,8,99.7%
,May 2015,$182K,68,121,125,15,99.0%
,June 2015,$187K,83,102,119,10,99.9%
,July 2015,$188K,112,102,124,18,99.4%
,August 2015,$182K,89,91,120,20,99.0%
,September 2015,$179K,79,71,113,19,99.2%
,October 2015,$171K,72,74,103,17,99.3%
,November 2015,$183K,45,46,95,26,99.0%
,December 2015,$195K,69,53,105,31,98.4%
,January 2016,$186K,38,76,99,24,99.0%
,February 2016,$195K,57,83,112,25,99.0%
,March 2016,$201K,75,104,118,17,99.7%
,April 2016,$193K,79,111,133,22,99.5%
,May 2016,$202K,92,107,130,16,99.2%
,June 2016,$201K,122,127,150,14,99.3%
,July 2016,$205K,95,95,142,16,99.4%
,August 2016,$195K,89,98,144,21,99.3%
,September 2016,$201K,94,71,135,27,99.3%
,October 2016,$195K,75,75,144,25,99.2%
,November 2016,$205K,63,54,118,35,99.3%
,December 2016,$198K,83,41,104,27,99.3%
,January 2017,$206K,44,71,106,58,98.5%
,February 2017,$207K,53,87,116,57,99.1%
,March 2017,$208K,76,85,126,15,99.6%
,April 2017,$210K,67,96,135,16,99.7%
,May 2017,$205K,78,117,157,23,99.7%
,June 2017,$210K,110,117,170,23,99.1%
,July 2017,$200K,81,123,201,16,99.2%
,August 2017,$210K,99,107,218,26,99.2%
,September 2017,$212K,74,60,194,40,99.0%
,October 2017,$204K,68,65,175,38,98.7%
,November 2017,$208K,62,51,149,53,99.4%
,December 2017,$207K,73,34,129,48,98.9%
,January 2018,$217K,41,80,118,51,99.0%
,February 2018,$210K,60,78,124,47,98.7%
,March 2018,$222K,79,96,140,27,99.1%
,April 2018,$214K,69,92,152,19,99.4%
,May 2018,$225K,90,106,162,20,99.3%
,June 2018,$227K,88,113,173,18,99.5%
,July 2018,$220K,100,106,197,24,99.6%
,August 2018,$215K,78,110,194,21,99.2%
,September 2018,$221K,91,80,177,33,98.8%
,October 2018,$214K,85,74,170,44,99.0%
,November 2018,$220K,73,53,158,41,98.6%
,December 2018,$215K,61,58,158,48,99.3%
,January 2019,$213K,41,76,176,32,98.8%
,February 2019,$220K,57,79,170,31,99.3%
,March 2019,$214K,77,96,170,31,99.4%
,April 2019,$220K,85,89,169,40,98.7%
,May 2019,$222K,94,119,197,30,99.4%
,June 2019,$223K,72,118,210,28,99.4%
,July 2019,$221K,107,129,231,33,99.3%
,August 2019,$221K,96,106,220,24,99.4%
,September 2019,$228K,83,59,195,48,98.9%
,October 2019,$233K,80,95,190,55,99.2%
,November 2019,$225K,80,77,186,55,99.3%
,December 2019,$224K,79,64,174,46,99.1%
,January 2020,$222K,66,76,153,31,98.8%
,February 2020,$225K,72,82,146,52,98.9%
,March 2020,$235K,93,113,163,34,99.2%
,April 2020,$236K,77,93,155,21,99.4%
,May 2020,$230K,81,99,141,17,99.6%
,June 2020,$242K,121,105,113,42,99.4%
,July 2020,$235K,122,136,123,20,99.8%
,August 2020,$243K,116,119,126,16,100.2%
,September 2020,$240K,107,89,121,24,100.1%
,October 2020,$245K,92,67,93,29,100.1%
,November 2020,$245K,95,56,82,32,100.0%
,December 2020,$253K,78,53,62,35,100.6%
,January 2021,$255K,65,71,49,23,101.8%
,February 2021,$277K,72,65,48,19,104.2%
,March 2021,$300K,86,92,58,18,107.0%
,April 2021,$310K,88,94,69,19,108.7%
,May 2021,$325K,88,87,81,16,110.4%
,June 2021,$345K,90,110,97,19,110.9%
,July 2021,$348K,96,124,122,19,108.9%
,August 2021,$354K,101,106,112,18,106.5%
,September 2021,$345K,83,118,138,25,105.6%
,October 2021,$357K,98,106,147,29,103.1%
,November 2021,$350K,72,84,148,28,103.8%
,December 2021,$353K,81,64,128,33,102.5%
,January 2022,$375K,59,52,111,27,102.8%
,February 2022,$385K,73,49,90,30,103.1%
,March 2022,$390K,68,78,103,26,107.1%
,April 2022,$405K,62,117,139,25,106.3%
,May 2022,$405K,89,144,181,20,104.0%
,June 2022,$409K,102,133,235,20,102.7%
,July 2022,$388K,81,124,286,35,100.3%
,August 2022,$390K,87,85,277,38,99.3%
,September 2022,$375K,74,98,269,53,97.9%
,October 2022,$354K,59,61,270,50,98.5%
,November 2022,$345K,49,48,239,66,97.5%
,December 2022,$360K,69,49,213,58,97.7%
,January 2023,$340K,45,62,213,86,95.9%
,February 2023,$361K,52,60,208,77,98.2%
,March 2023,$341K,66,84,205,100,98.1%
,April 2023,$346K,72,84,206,47,98.6%
,May 2023,$350K,96,93,208,43,97.5%
,June 2023,$354K,66,99,223,42,98.5%
,July 2023,$341K,80,77,222,39,98.2%
,August 2023,$340K,71,105,247,62,98.3%
,September 2023,$343K,56,72,238,63,97.6%
,October 2023,$335K,64,75,239,53,98.3%
,November 2023,$318K,78,85,244,48,97.1%
,December 2023,$330K,43,63,224,55,97.6%
,January 2024,$336K,49,56,215,61,97.6%
,February 2024,$317K,53,67,209,84,97.4%
,March 2024,$331K,63,97,241,72,97.7%
,April 2024,$328K,72,104,237,73,98.3%
,May 2024,$340K,91,104,249,35,97.0%
,June 2024,$347K,67,96,265,47,97.3%
,July 2024,$338K,64,73,264,46,98.5%
,August 2024,$333K,81,95,261,45,97.8%
,September 2024,$334K,49,65,263,86,97.6%
,October 2024,$324K,63,60,253,64,97.5%
,November 2024,$331K,51,42,220,101,96.8%
,December 2024,$295K,64,39,179,93,96.7%
,January 2025,$320K,35,57,186,85,98.4%
,February 2025,$317K,43,58,184,101,99.1%
"Lakeland, FL",January 2012,$90K,62,123,685,116,94.4%
,February 2012,$89K,85,150,709,126,92.1%
,March 2012,$86K,112,130,707,129,94.0%
,April 2012,$84K,108,124,675,141,96.5%
,May 2012,$80K,113,135,669,119,94.3%
,June 2012,$93K,110,152,689,128,96.1%
,July 2012,$73K,98,186,755,113,94.4%
,August 2012,$98K,100,140,761,112,94.9%
,September 2012,$79K,88,138,780,132,93.0%
,October 2012,$90K,107,125,779,106,94.4%
,November 2012,$100K,97,101,747,125,95.2%
,December 2012,$89K,115,96,688,114,93.9%
,January 2013,$78K,84,151,702,127,92.9%
,February 2013,$87K,110,120,686,135,95.7%
,March 2013,$108K,133,130,640,121,95.6%
,April 2013,$95K,131,136,617,109,95.9%
,May 2013,$110K,135,150,612,116,95.8%
,June 2013,$107K,110,143,630,93,96.2%
,July 2013,$110K,131,145,619,80,95.2%
,August 2013,$105K,114,147,638,98,96.3%
,September 2013,$123K,101,150,658,103,95.5%
,October 2013,$115K,111,157,673,90,97.0%
,November 2013,$101K,87,112,662,115,94.2%
,December 2013,$99K,106,105,637,111,95.0%
,January 2014,$72K,89,158,653,114,94.0%
,February 2014,$98K,100,134,648,101,95.3%
,March 2014,$117K,114,135,617,104,95.0%
,April 2014,$104K,140,159,503,105,95.4%
,May 2014,$125K,133,139,446,78,95.3%
,June 2014,$100K,126,141,422,42,96.4%
,July 2014,$115K,125,154,467,56,96.7%
,August 2014,$125K,104,167,478,64,96.8%
,September 2014,$127K,123,157,506,39,96.5%
,October 2014,$125K,122,142,504,55,96.9%
,November 2014,$120K,88,113,502,47,95.9%
,December 2014,$121K,125,123,513,54,95.0%
,January 2015,$99K,88,154,515,98,92.5%
,February 2015,$107K,101,166,520,90,95.1%
,March 2015,$118K,140,169,504,57,94.2%
,April 2015,$120K,157,185,513,41,95.5%
,May 2015,$120K,155,166,497,64,96.1%
,June 2015,$135K,151,175,507,42,96.2%
,July 2015,$132K,152,166,494,45,96.8%
,August 2015,$130K,142,161,485,54,97.1%
,September 2015,$130K,135,167,496,61,96.9%
,October 2015,$140K,132,163,515,48,96.4%
,November 2015,$115K,89,141,535,56,94.5%
,December 2015,$138K,137,115,502,46,96.2%
,January 2016,$125K,113,161,510,79,96.3%
,February 2016,$130K,129,177,502,44,96.1%
,March 2016,$141K,158,189,509,68,96.6%
,April 2016,$132K,140,190,512,54,96.7%
,May 2016,$144K,151,156,500,54,96.7%
,June 2016,$157K,142,214,507,47,97.0%
,July 2016,$145K,158,217,533,49,97.7%
,August 2016,$146K,183,198,536,41,97.5%
,September 2016,$142K,158,181,539,44,96.7%
,October 2016,$144K,156,141,491,39,97.7%
,November 2016,$142K,152,158,490,56,97.0%
,December 2016,$145K,171,137,472,57,96.6%
,January 2017,$143K,121,153,457,49,96.3%
,February 2017,$142K,133,177,462,41,96.3%
,March 2017,$145K,160,229,498,56,96.8%
,April 2017,$147K,155,189,481,48,97.4%
,May 2017,$154K,182,225,503,46,97.7%
,June 2017,$160K,186,182,472,30,96.8%
,July 2017,$159K,176,164,441,39,97.3%
,August 2017,$155K,177,210,449,40,96.3%
,September 2017,$165K,118,152,440,36,97.4%
,October 2017,$160K,174,197,455,33,96.6%
,November 2017,$166K,154,146,442,25,97.2%
,December 2017,$168K,148,153,425,42,97.0%
,January 2018,$160K,109,182,435,28,96.7%
,February 2018,$159K,144,182,427,41,97.8%
,March 2018,$165K,192,222,422,43,96.9%
,April 2018,$175K,185,203,434,25,97.5%
,May 2018,$152K,202,209,416,28,96.8%
,June 2018,$175K,200,199,408,29,97.4%
,July 2018,$170K,208,215,419,23,98.7%
,August 2018,$175K,185,222,436,30,97.7%
,September 2018,$184K,148,174,447,27,96.4%
,October 2018,$165K,171,215,469,27,96.7%
,November 2018,$165K,151,162,483,28,97.1%
,December 2018,$172K,156,156,483,37,96.6%
,January 2019,$160K,105,183,478,49,95.1%
,February 2019,$171K,140,177,461,45,96.8%
,March 2019,$170K,179,209,438,50,97.1%
,April 2019,$168K,192,202,435,36,97.4%
,May 2019,$173K,200,205,432,29,97.7%
,June 2019,$187K,185,174,404,38,97.3%
,July 2019,$190K,196,205,380,29,97.6%
,August 2019,$200K,215,216,382,34,97.4%
,September 2019,$184K,173,193,379,20,97.4%
,October 2019,$180K,159,196,364,28,97.5%
,November 2019,$185K,168,156,367,23,98.1%
,December 2019,$216K,146,144,349,24,97.0%
,January 2020,$180K,134,208,380,28,97.5%
,February 2020,$194K,128,170,324,48,97.1%
,March 2020,$186K,201,225,380,26,97.9%
,April 2020,$198K,125,176,384,23,98.2%
,May 2020,$192K,141,168,305,28,97.7%
,June 2020,$215K,221,211,298,25,98.6%
,July 2020,$210K,220,199,268,32,97.2%
,August 2020,$210K,200,168,214,28,97.7%
,September 2020,$230K,220,228,202,15,98.5%
,October 2020,$220K,205,205,210,13,98.7%
,November 2020,$220K,193,182,206,14,98.8%
,December 2020,$226K,188,167,194,18,98.4%
,January 2021,$230K,165,183,183,23,98.6%
,February 2021,$236K,169,164,168,21,98.0%
,March 2021,$242K,235,216,138,13,99.0%
,April 2021,$247K,207,231,141,13,99.1%
,May 2021,$250K,200,212,131,10,99.5%
,June 2021,$257K,242,243,165,7,100.0%
,July 2021,$242K,196,225,191,7,100.2%
,August 2021,$262K,201,208,184,8,99.7%
,September 2021,$275K,180,193,181,12,99.9%
,October 2021,$277K,184,222,191,13,98.7%
,November 2021,$260K,197,153,158,7,99.3%
,December 2021,$285K,188,135,129,16,99.0%
,January 2022,$290K,134,197,138,14,98.9%
,February 2022,$315K,155,187,137,8,99.7%
,March 2022,$295K,222,236,145,8,99.6%
,April 2022,$295K,209,243,177,8,100.5%
,May 2022,$318K,198,241,185,7,100.8%
,June 2022,$315K,219,267,257,11,100.0%
,July 2022,$313K,172,220,299,10,99.3%
,August 2022,$320K,179,232,325,15,98.8%
,September 2022,$305K,157,155,329,17,98.0%
,October 2022,$303K,157,163,335,28,96.6%
,November 2022,$293K,126,157,334,25,97.3%
,December 2022,$285K,167,122,335,30,96.5%
,January 2023,$263K,77,142,310,45,96.3%
,February 2023,$286K,127,150,280,46,97.7%
,March 2023,$285K,169,182,286,46,97.2%
